hex	dec	char	count
#elements			
hex	dec	char	count
1F7B	8059	ύ	75
1F7C	8060	ὼ	14
1F7D	8061	ώ	43
1F84	8068	ᾄ	1
1FA4	8100	ᾤ	1
1FA7	8103	ᾧ	1
1FB3	8115	ᾳ	3
1FB6	8118	ᾶ	18
1FB7	8119	ᾷ	2
1FC3	8131	ῃ	30
1FC4	8132	ῄ	2
1FC6	8134	ῆ	35
1FC7	8135	ῇ	9
1FD3	8147	ΐ	1
1FD6	8150	ῖ	76
1FE4	8164	ῤ	1
1FE5	8165	ῥ	11
1FE6	8166	ῦ	69
1FEC	8172	Ῥ	1
1FF3	8179	ῳ	21
1FF6	8182	ῶ	69
1FF7	8183	ῷ	11
2013	8211	–	29
2018	8216	‘	38
2019	8217	’	98
201C	8220	“	7
201D	8221	”	7
2020	8224	†	75
2026	8230	…	1
2074	8308	⁴	81
2075	8309	⁵	12
2076	8310	⁶	7
2077	8311	⁷	3
2078	8312	⁸	1
2079	8313	⁹	1
2081	8321	₁	7
2082	8322	₂	7
2083	8323	₃	3
2084	8324	₄	2
2085	8325	₅	3
FEFF	65279	﻿	3
#attributes			
hex	dec	char	count
0020	32	 	91351
0023	35	#	313384
0024	36	$	490
0027	39	'	10
0028	40	(	504
0029	41	)	504
002A	42	*	6
002B	43	+	491
002C	44	,	158
002D	45	-	266523
002E	46	.	6984
002F	47	/	5191
0030	48	0	353791
0031	49	1	417392
0032	50	2	215530
0033	51	3	161641
0034	52	4	123612
0035	53	5	120135
0036	54	6	96362
0037	55	7	85120
0038	56	8	94405
0039	57	9	76715
003A	58	:	49161
003B	59	;	1300
003F	63	?	1
0041	65	A	725
0042	66	B	828
0043	67	C	498
0044	68	D	277
0045	69	E	418
0046	70	F	249
0047	71	G	384
0048	72	H	472
0049	73	I	364
004A	74	J	42
004B	75	K	128
004C	76	L	767
004D	77	M	822
004E	78	N	335
004F	79	O	276
0050	80	P	744
0051	81	Q	69
0052	82	R	708
0053	83	S	1004
0054	84	T	337
0055	85	U	57
0056	86	V	608
0057	87	W	200
0058	88	X	299
0059	89	Y	40
005A	90	Z	81
005B	91	[	495
005D	93	]	495
005F	95	_	118
0061	97	a	108423
0062	98	b	69246
0063	99	c	61076
0064	100	d	211723
0065	101	e	117531
0066	102	f	48394
0067	103	g	14850
0068	104	h	4766
0069	105	i	148306
006A	106	j	16
006B	107	k	314
006C	108	l	336985
006D	109	m	9932
006E	110	n	88375
006F	111	o	86816
0070	112	p	22264
0071	113	q	516
0072	114	r	48615
0073	115	s	79713
0074	116	t	223536
0075	117	u	5400
0076	118	v	1774
0077	119	w	350484
0078	120	x	10663
